id,name_short,name,type,sex,birth,position,educatio,subject,party,religion,kids,twitter,instagram,facebook,youtube
1;FB;Franziska_Brantner,0,2,1979,2,6,1,2,,1,14000,4474,2747,26
2,FT;Florian_Toncar,0,1,1979,2,6,2,3,2,3,8591,3072,4476,99
3,RSS,Rita_Schwarzelühr-Sütter,0,2,1962,2,5,3,1,1,2,4253,1534,2940,17
4,TL,Tobias_Lindner,0,1,1982,2,6,3,2,,,10500,3601,4921,
5,BS,BenjaminStrasser,0,1,1987,2,5,2,3,1,,5813,3935,3368,288
6,COE,CemOezdemir,0,1,1965,1,5,5,2,3,2,317400,105000,162569,
7,MT,Michael_A._Theurer,0,1,1967,2,5,3,3,2,1,8484,3747,27913,0
8,CK,Chris_Kühn,0,1,1979,2,5,1,2,2,3,4829,1660,,35
9,JB,Jens_Brandenburg,0,1,1986,2,6,1,3,,,5411,3328,,
11,SIPA,Columbia_University_NewYork,1,,,,,,,,,,,,
12,IP,Institut_d'Etudes_Politiques_Paris,1,,,,,,,,,,,,
13,UniMn,Universität_Mannheim,1,,,,,,,,,,,,
14,EKU,Eberhard_Karls_Universität_Tübingen,1,,,,,,,,,,,,
15,CAM,University_Cambridge,1,,,,,,,,,,,,
16,UniHd,Universität_Heidelberg,1,,,,,,,,,,,,
17,ALU,Albert_Ludwigs_Universität_Freiburg,1,,,,,,,,,,,,
18,UniZr,Universität_Zürich,1,,,,,,,,,,,,
19,THKr,Technische_Hochschule_Karlsruhe,1,,,,,,,,,,,,
20,UniKz,Universität_Konstanz,1,,,,,,,,,,,,
21,FHRtl,Fachhochschule_Reutlingen,1,,,,,,,,,,,,
22,BMUV,Bundesministerium_für_Umwelt,_Naturschutz,_Bau_und_Reaktorsicherheit,1,,,,,,,,,,,,
23,BMF,Bundesministerium_für_Finanzen,1,,,,,,,,,,,,
24,BMI,Bundesministerium_für_Inneres,1,,,,,,,,,,,,
25,BMJ,Bundesministerium_der_Justiz,1,,,,,,,,,,,,
26,BMEL,Bundeministeriums_für_Ernährung_und_Landwirtschaft,1,,,,,,,,,,,,
27,BMDV,Bundesministerium_für_Digitales_und_Verkehr,1,,,,,,,,,,,,
28,BMUV,Bundesministerium_für_Wirtschaft_und_Klimaschutz,1,,,,,,,,,,,,
29,BMBWF,Bundesministerium_für_Bildung,Wissenschaft_und_Forschung,1,,,,,,,,,,,,
30,AA,Auswärtiges_Amt,1,,,,,,,,,,,,
31,HBS,Heinrich-Böll-Stiftung,1,,,,,,,,,,,,
32,SEFEP,Agora_Verkehrswende_Smart_Energy_for_Europa_Platform,1,,,,,,,,,,,,
33,KWF,Kreditanstalt_für_Wiederaufbau_FFM,1,,,,,,,,,,,,
34,HA,Haushaltsausschuss,1,,,,,,,,,,,,
35,AA,Auswärtiger_Ausschuss,1,,,,,,,,,,,,
36;GA;Gemeinsamer_Ausschuss,1,,,,,,,,,,,,
37;AIH;Ausschuss_für_Inneres_und_Heimat,1,,,,,,,,,,,,
